Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-17,HINDUNILVR,2722.25,-1.661699629729974,2281596,792876.0,2.8776202079518107,1252787,73.72
2021-09-17,IRCTC,3863.4,2.48560893439797,1976843,729296.0,2.7106181852087494,1934179,16.04
2021-09-17,DLF,334.75,-2.2342289719626103,2265610,858659.0,2.638544521166144,2212855,22.88
2021-09-17,HDFC,2825.65,0.47291411097481406,2883353,1113081.0,2.590425135277666,1238079,64.83
2021-09-17,LALPATHLAB,3981.15,-2.7339025909773906,272814,105926.0,2.575514982157355,105926,57.63
2021-09-17,INDHOTEL,149.05,-3.8697194453402126,2107150,834812.0,2.524101234769026,1061968,53.05
2021-09-17,PETRONET,232.2,-0.25773195876289634,3079259,1225313.0,2.513038709293054,1248947,67.84
2021-09-17,HDFCBANK,1582.15,1.4231225359787203,6160971,2478795.0,2.485470157879131,5419693,60.11
2021-09-17,HINDPETRO,282.95,0.15929203539822606,5820574,2350953.0,2.475835969498327,2350953,51.8
2021-09-17,DABUR,653.95,2.1158650843223095,1183866,483781.0,2.447111399579562,905993,40.01
2021-09-17,MUTHOOTFIN,1513.5,-2.5748310267138717,530321,218481.0,2.427309468557907,218481,47.34
2021-09-17,GODREJCP,1090.6,-1.2763646238797988,989845,407822.0,2.4271495897720086,413448,65.41
2021-09-17,UPL,742.35,-1.5450928381962834,2038078,852298.0,2.3912739440899777,1077169,60.86
2021-09-17,JSWSTEEL,682.3,-1.0370585249111741,3073932,1294168.0,2.375218673309802,1294168,39.39
2021-09-17,BALRAMCHIN,357.95,-0.2646976873780966,704724,297446.0,2.369250216846083,532458,56.78
2021-09-17,AARTIIND,926.05,-2.9043250327654047,1618327,684263.0,2.3650657714942938,684263,56.41
2021-09-17,VEDL,302.0,-2.296991264962802,8049552,3522412.0,2.2852386376153615,3522412,47.73
2021-09-17,INFY,1691.3,-0.6432662652371888,4936266,2179368.0,2.264998843701477,3829313,66.22
2021-09-17,SAIL,115.15,-3.720735785953168,22124174,10032820.0,2.2051799992424863,10954896,45.08
2021-09-17,NESTLEIND,20175.7,0.7382220258290441,73368,33282.0,2.204434829637642,33282,77.12
2021-09-17,UBL,1594.65,-0.4556946221792162,293317,133108.0,2.2036015866814918,254325,20.45
2021-09-17,PAGEIND,33121.25,-0.09275458494208494,14932,6877.0,2.1712956230914644,8382,57.98
2021-09-17,M&M,754.15,-0.36990554197768255,3379089,1564957.0,2.1592216271756985,2018292,61.39
2021-09-17,TCS,3827.85,-1.9329797863346467,4501470,2125781.0,2.117560557743248,2125781,69.5
2021-09-17,INDIAMART,8608.75,-1.5917924096936442,80964,38355.0,2.1109112240907315,43109,39.23
2021-09-17,HAVELLS,1471.9,1.2937856995389294,1015263,495263.0,2.049947199770627,495263,48.36
2021-09-17,MRF,79397.25,-0.7183166044988378,5135,2509.0,2.0466321243523318,3963,38.75
2021-09-17,SBICARD,1078.05,0.06033042509744417,1034656,505932.0,2.0450495323482207,747732,69.94
2021-09-17,CUMMINSIND,1007.7,-2.3593818128966535,471878,234584.0,2.0115523650376836,234584,52.18
2021-09-20,GNFC,355.25,6.250934649319569,2289499,234647.0,9.757205504438582,504863,44.59
